id:ID,action,source_project,:LABEL
Strat_017,법적 수질 관리를 위해 이동식 오탁수 처리시설을 현장에 긴급 설치하고 유출수를 정화 후 방류하도록 설계변경_김포-관산 도로,김포-관산 도로,Strategy
Strat_018,"현장 용출수 지속 발생에 따른 필수 조치임을 입증하고, 후속 공정 기간에 해당하는 운영비를 실정보고하여 반영_오남수동도로",오남수동도로,Strategy
Strat_019,장비 조합을 변경하고 터널 인근 부지를 추가 임대하여 안전한 적적공간 확보_새만금전주 6공구,새만금전주 6공구,Strategy
Strat_020,내역에 누락된 야적장 부지 조성 비용을 발주처에 실정보고하여 비용 반영 및 부지 확보_평화의댐 치수,평화의댐 치수,Strategy
Strat_021,법적 기준을 만족하는 안전시설을 즉각 내역에 반영하고 조기 설치하여 인허가 취득_울릉도일주도로,울릉도일주도로,Strategy
Strat_022,유휴 부지에 집하장을 조성하고 폐기물 소운반 및 집적 비용을 실정보고 승인 득함_부산명지 택지,부산명지 택지,Strategy
Strat_023,콘크리트 타설 및 휀스 설치 비용을 실정보고하여 적법한 야적 기반 조성_서울고덕 강일,서울고덕 강일,Strategy
Strat_024,반출 지연을 입증하여 후방 집토를 위해 투입된 소운반비를 발주처에 실정보고_오남수동 도로,오남수동 도로,Strategy
Strat_025,외부 임대 부지를 확보하고 비산먼지 방지 시설 및 소운반비를 설계변경 반영 추진_김포-관산 도로,김포-관산 도로,Strategy
Strat_026,분할된 동선에 맞게 세륜시설 3개소를 긴급 추가 설계 반영하여 먼지 완벽 제어_성남복정 택지,성남복정 택지,Strategy
Strat_027,신속한 보험처리 및 보상 완료 후 전 구간 지주 기초를 와이어로프로 보강 재설치_옥동-농소 도로,옥동-농소 도로,Strategy
Strat_028,이동식 살수시설을 긴급히 추가 배치하고 환경관리비 예산을 추가 집행 조치_평택 화양지구,평택 화양지구,Strategy
Strat_029,이동식 크라샤로 장비를 변경하여 단기 생산 후 신속 철거 및 장소 이동으로 민원 제어_칠북-북면 도로,칠북-북면 도로,Strategy
Strat_030,"실제 지반 조건(암선 및 암질)을 재조사하여 사면 슬라이딩 구간에 대한 사면 안정성 검토를 재수행한 후, 적절한 보강 공법을 적용하여 설계변경 추진함_광양시 우회도로",광양시 우회도로,Strategy
Strat_031,"붕괴 구간 및 인접 구간에 대해 한계평형해석을 재수행하여, 안정성이 확보되는 완만한 기울기로 절취 사면 경사를 대폭 완화(구배 조정)함_오남수동도로",오남수동도로,Strategy
Strat_032,"원인 분석을 통해 단순 복구가 아닌 현장 여건에 맞는 보강 공법(어스앵커, 숏크리트 등)을 재검토하고 발주처에 설계변경 승인을 득하여 시공함_여수시우회도로",여수시우회도로,Strategy
Strat_033,"비탈면 안정해석을 재수행하여, 앵커(Anchor), 쏘일네일링(Soil Nailing), 계단식 옹벽, 두꺼운 식생기반 취부공(T=10cm) 및 낙석방지 울타리를 종합적으로 적용하여 전면 보강함_칠북-북면간 도로",칠북-북면간 도로,Strategy
Strat_034,"사면 요철 현황을 정밀 측량하여 증빙 자료를 작성하고, 누락된 낙석방지망 15% 할증 수량을 재산출하여 발주처에 실정보고 및 도급 내역 증액을 추진함_평화의댐 치수능력증대",평화의댐 치수능력증대,Strategy
Strat_035,"한계평형해석 등 사면안정성 검토를 재수행하여, 무보강 구간에 락볼트 및 숏크리트 등 강성 보강공법을 추가 반영하고 즉각 시공하여 안정성을 확보함_오남수동도로",오남수동도로,Strategy
Strat_036,"낙석 중량 및 에너지를 현장 조건에 맞게 재산정하고, 그 결과(흡수 에너지 용량)를 충족할 수 있도록 고강도 낙석방지울타리로 설계를 보완하여 재설치함_오남수동도로",오남수동도로,Strategy
Strat_037,"암 성상별로 보강공법을 세분화하여, 얇은/두꺼운 식생기반 취부공(T=3~10cm) 및 낙석방지 울타리, 낙석방망을 대대적으로 추가 설계 반영함_칠북-북면간 도로",칠북-북면간 도로,Strategy
Strat_038,일자산 사면 인접 굴착 배면에 어스앵커를 긴급 추가 설계 및 시공하여 편토압에 의한 붕괴를 선제적으로 방지함_서울지하철 923공구,서울지하철 923공구,Strategy
Strat_039,"사면의 미제거 부석을 철저히 제거(스케일링)하고, 부적합한 떼붙임 대신 숏크리트 타설 및 식생매트 등 적극적인 사면보호공법으로 변경 시공함_양주회천 택지개발사업",양주회천 택지개발사업,Strategy
Strat_040,"블록 접지면 틈새 채움을 철저히 이행하고, 앵커 설치 방향 점검 및 장기 지반 거동을 고려하여 설계 및 시공을 보완함_안동댐비상여수로",안동댐비상여수로,Strategy
Strat_041,사면 안정성 검토를 바탕으로 갱구부 사면 안정을 위해 쏘일네일링(Soil Nailing) 공법을 신규로 추가 반영하여 보강함_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Strategy
Strat_042,사면 붕괴 방지 및 도로 폭 유지를 위해 성토 사면 하단부에 석축(찰쌓기) 옹벽을 별도로 추가 설계 변경하여 시공함_웅동-장유 국도확장,웅동-장유 국도확장,Strategy
Strat_043,워터제트 장비 추가 투입 및 심야 운행선 인접 야간 작업 할증 비용을 실정보고 통해 반영함_인천공항철도연계시설확충,인천공항철도연계시설확충,Strategy
Strat_044,관리기관과 협의하여 지장선로 이설 계획을 수립하고 설계변경을 통해 이설 비용을 반영함_포승-평택철도 1공구,포승-평택철도 1공구,Strategy
Strat_045,화약류를 사용하지 않는 비발파 유압식 할암 공법으로 굴착 계획을 변경하여 인허가 문제를 해결하고 시공함_노포북정3공구,노포북정3공구,Strategy
Strat_046,즉각 시공을 중단하고 유관기관과 협의하여 통신케이블을 안전 구간으로 우선 이설 조치 후 공사를 재개함_인천공항철도연계시설확충,인천공항철도연계시설확충,Strategy
Strat_047,Fast-Track으로 안전영향평가를 선시행하고 평가 결과에 따른 감지 시설 등을 설치하여 적법하게 인허가를 조기 획득함_사상하단4공구,사상하단4공구,Strategy
Strat_048,환경영향평가 협의를 준수하여 서식 구역 보호 차단망을 설치하고 포획/이주 비용을 실정보고 통해 반영함_서해선 홍성-송산 5공구,서해선 홍성-송산 5공구,Strategy
Strat_049,강지보 보강 및 지표 시설물 보수 후 안정성 검토 용역을 통해 보강 방안 수립 후 굴착 재개_서해선 홍성-송산 전철 5공구,서해선 홍성-송산 전철 5공구,Strategy
Strat_050,굴진 중단 후 추가 암선 측방 확인 천공을 실시하고 지보 패턴을 토사 조건에 맞게 대폭 상향(PD-5A/5B) 변경함_김포도시철도 3공구,김포도시철도 3공구,Strategy
Strat_051,막장 안정 확보를 위해 상반 막장면에 숏크리트 뿜어붙이기 보강 공법(막장 숏크리트)을 추가 적용함_김포도시철도 3공구,김포도시철도 3공구,Strategy
Strat_052,"정밀 발파 패턴 관리 및 암판정을 강화하고, 초과 투입된 물량에 대해 실정보고를 통한 도급 보전 추진_새만금전주 6공구",새만금전주 6공구,Strategy
Strat_053,터널학회 자문을 통해 보약 설계 타당성을 입증하고 국토부 총사업비 심의를 통해 도급 증액(408억) 및 복구함_울산~포항 전철 2공구,울산~포항 전철 2공구,Strategy
Strat_054,현장 여건에 맞게 장비 운용이 가능한 상·하분할 롱벤치 공법으로 설계 변경하여 시공성 확보_김포도시철도 3공구,김포도시철도 3공구,Strategy
Strat_055,천단 안정을 위해 지보패턴을 보수적인 상하분할 굴착(PS-2B)으로 대폭 상향하고 지보재를 집중 보강함_서울지하철 923공구,서울지하철 923공구,Strategy
Strat_056,"발파 공법을 전면 취소하고, 비용은 높으나 진동이 없는 무진동 또는 초정밀 진동 제어 공법으로 변경 시공함_서울지하철 923공구",서울지하철 923공구,Strategy
Strat_057,임의 투입된 바닥 보강 수량을 실측 증빙하여 도급 반영을 추진하고 지반 상이에 따른 실정보고 조치_동대구-영천전철 4공구,동대구-영천전철 4공구,Strategy
Strat_058,암판정 위원회 결과를 근거로 패턴을 PD-4(분할굴착)로 즉각 변경하고 증가된 지보재 비용 승인을 득함_도담-영천전철 6공구,도담-영천전철 6공구,Strategy
Strat_059,라이닝 폼 개조를 통해 갱문과 본선을 일체 타설하여 구조적 안정성 및 수밀성 확보_새만금전주 5공구,새만금전주 5공구,Strategy
Strat_060,지반조건 재조사 후 구조계산 최적화 및 양측 대칭 층따기/균형 되메우기 정밀 시공 지침 수립_시흥장현지구 1공구,시흥장현지구 1공구,Strategy
Strat_061,협소 구간은 대형 장비 대신 쏘일시멘트 채움 등 대체 공법을 적용하여 장비 측압 최소화_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Strategy
Strat_062,록볼트가 완전히 매립되도록 현장 여건에 맞게 숏크리트 두께를 보정하고 설계변경 추진_안성-구리고속 11공구,안성-구리고속 11공구,Strategy
Strat_063,누락된 배수 동판 자재를 긴급 수급하여 정밀 시공하고 실정보고를 통해 도급 증액 확보_서울지하철 923공구,서울지하철 923공구,Strategy
Strat_064,피암터널 상부의 편경사를 전면 수정하고 우수 정체 방지를 위한 추가 지수 대책 수립/시공_울릉도일주도로2,울릉도일주도로2,Strategy
Strat_065,외기 노출 구간에 전열선(Heat Tracing) 및 보온 단열재 보강 공법을 상향 적용하여 시공_전주-남원1공구,전주-남원1공구,Strategy
Strat_066,누락 수량을 즉시 실정보고하여 설계변경 승인을 득하고 적기에 가복공 구조물 시공 완료_울릉공항,울릉공항,Strategy
Strat_067,1개월 이상 방치 예상 시 일반 결속 대신 굵은 반생 결속 및 용접 보강으로 고정력 강화_충주댐치수능력증대,충주댐치수능력증대,Strategy
Strat_068,마감 거푸집 설계를 보충하고 타설 시 측압에 저항할 수 있는 타이로드 및 지지 보강 상세 적용_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Strategy
Strat_069,배면 사면 수계 분석을 재실시해 가배수로/집수정 용량을 상향하고 사면 천막 보양 및 유도 배수관 설치_사상하단 4공구 등,사상하단 4공구 등,Strategy
Strat_070,"사면 붕괴 위험 구간에 낙석방지 울타리, 락볼트, 식생기반 취부공 등 강력한 영구 보호 대책을 보강_사상하단/칠북-북면 등",사상하단/칠북-북면 등,Strategy
Strat_071,부적합 토사를 배제하고 외지 양질토를 반입해 양측면을 대칭으로 정밀 층다짐 성토하며 계측 관리 강화_울릉도일주/시흥장현 등,울릉도일주/시흥장현 등,Strategy
Strat_072,뒤채움 시 시멘트 혼입 다짐으로 강도를 높이고 최소 3개월 이상의 침하 수렴 기간을 확보한 뒤 상부 타설_새만금-전주 7공구 등,새만금-전주 7공구 등,Strategy
Strat_073,비탈면을 따라 유지관리용 점검 계단을 시공하고 갱문 상단 추락 방지용 안전 난간을 실정보고로 추가 반영_진접선 3공구 등,진접선 3공구 등,Strategy
Strat_074,투수성과 동상 안정성이 검증된 양질의 토사를 사용하고 맹암거 및 필터망 시공 상태를 전수 검측_포항시우회도로 등,포항시우회도로 등,Strategy
Strat_075,절취 즉시 보강 작업을 선행하고 우기 전 방수포 덮기 및 상부 유도 배수 조치를 철저히 이행_오남수동도로 등,오남수동도로 등,Strategy
Strat_076,협소 구간은 쏘일시멘트로 치환 타설해 다짐 한계를 극복하고 접속부에 어프로치 슬래브를 필수 설치_동대구-영천 4공구 등,동대구-영천 4공구 등,Strategy
Strat_077,착수 전 시설물 하부 사면에 게비온 옹벽 등을 선시공해 보강하고 제어 발파 및 실시간 계측을 수행_칠북-북면 도로 등,칠북-북면 도로 등,Strategy
Strat_078,암질 조건에 맞춰 취부 두께를 3~10cm로 상향하고 보습력이 뛰어난 유기질 기반재와 자생 수종을 배합_칠북-북면/예천양수 등,칠북-북면/예천양수 등,Strategy
Strat_079,누락된 동판 설치 비용을 실정보고로 반영하고 조인트 지수재 및 방수 코킹 시공 상태를 전수 확인_서울지하철 923공구 등,서울지하철 923공구 등,Strategy
Strat_080,사면 변위 우려 구간에 비탈면 경보시스템 및 자동화 계측기를 선행 설치하고 기준치 초과 시 즉시 대피 체계 가동_칠북-북면 / 성남복정 등,칠북-북면 / 성남복정 등,Strategy
Strat_081,거푸집 세팅 시 3D 스캐너로 내공 치수를 정밀 측량하고 방제시설 부착을 고려해 넉넉한 단면으로 보수적 설계 적용_터널 현장 공통,터널 현장 공통,Strategy
Strat_082,배수로 종점부에 바닥보호공 및 세굴 방지용 사석 부설을 설계에 반영하고 유속 감쇄용 웅덩이(감세공) 설치_수원외곽 / 양주회천 등,수원외곽 / 양주회천 등,Strategy
Strat_083,전선 인입부 등 모든 조인트에 고내구성 실런트를 적용하고 옥외 전선관 입구에 빗물 유입 방지 트랩(U-Trap) 설치_고군산 2공구 / 영암-해남 등,고군산 2공구 / 영암-해남 등,Strategy
Strat_084,실시설계 도면과 수량산출서를 대조하여 누락된 사면 흙깎기 및 인공지반 갱문 구축 수량을 찾아내고 설계변경(실정보고)을 통해 도급 내역에 추가 반영_울릉공항,울릉공항,Strategy
Strat_085,양방향 3개소에 배정된 강재거푸집 3개 중 1개를 반으로 절단/개조하여 갱문 일체시공이 가능하도록 라이닝폼을 변경하고 실정보고 승인을 득함_새만금전주 5공구,새만금전주 5공구,Strategy
Strat_086,도면에 표기된 갱문 조인트 부위 유도배수용 동판 물량을 산출하여 설계변경에 추가 반영하고 수밀하게 밀착 시공함_서울지하철 923공구,서울지하철 923공구,Strategy
Strat_087,"유관기관 합동점검 지적사항을 즉각 수용하여, 갱문 상단에 12m의 토사낙하방지턱을 펌프카를 동원해 타설하고 16m의 안전난간 및 비산방지철망을 긴급 추가 설치함_진접선 3공구",진접선 3공구,Strategy
Strat_088,"위험 인지 즉시 굴착을 전면 보류하고 본사 기술연구소의 사면 안정성 검토를 거쳐, 갱문 사면 보강공법(Soil Nailing)을 추가 설계 반영하여 지반 안정성 확보 후 시공 재개_부산외곽순환고속 9공구",부산외곽순환고속 9공구,Strategy
Strat_089,구조물 경사계 등 자동화 계측 강화 및 수평 보강 그라우팅(ASG 공법 등) 긴급 시행으로 안정성 확보_광명전력구,광명전력구,Strategy
Strat_090,굴착 전 인력 줄파기 범위를 확대하고 사고 즉시 긴급 복구 및 지장물 누락에 의한 실정보고 추진_GTX-A 6공구,GTX-A 6공구,Strategy
Strat_091,사고지점 긴급 복구 후 철거 공법을 기계식에서 인력 철거로 변경하여 잔여 구간 안전성 확보_사상하단4공구,사상하단4공구,Strategy
Strat_092,지반 이완을 최소화하기 위해 현장 타설 공법을 프리캐스트(PC) Box 거치 공법으로 설계 변경하여 조기 안정성 확보_인천공항철도연계,인천공항철도연계,Strategy
Strat_093,가시설 버팀보에 수직 레이커(Raker) 및 지반 보강 그라우팅을 추가하여 지반 지지력을 대폭 강화_서울지하철 923공구,서울지하철 923공구,Strategy
Strat_094,인접 사업 간섭을 고려한 통합 계측망 구축 및 고강도 그라우팅을 통한 교대 주각부 선제적 보강_에코델타시티 2-1,에코델타시티 2-1,Strategy
Strat_095,상수관로 이설 및 영향권 내 보강토 옹벽 하부 저유동몰탈주입(CGS) 공법을 적용하여 지반 근본 강화_칠북-북면간 도로,칠북-북면간 도로,Strategy
Strat_096,열 팽창을 흡수할 수 있는 U-Bend 설계 추가 및 전문기관 정말 구조 검토를 통한 보강 상세 적용_삼성-동탄 GTX 2공구,삼성-동탄 GTX 2공구,Strategy
Strat_097,터파기 심도를 획기적으로 줄일 수 있는 저심도 구조물(U-Type)로 설계를 변경하여 안정성 극대화_동대구-영천전철 4공구,동대구-영천전철 4공구,Strategy
Strat_098,관정 양수 중단 및 공사용수를 살수차(외부 공급)로 대체하는 설계변경을 통해 지반 하부 수압 회복_새만금전주 6공구,새만금전주 6공구,Strategy
Strat_099,보수 불가 판정에 따라 해당 부지 및 건물을 전면 매입 후 선철거하고 실정보고를 통해 사업비 증액_수인선 2-2공구,수인선 2-2공구,Strategy
Strat_100,되메우기 시 가시설 인발을 철저히 확인하고 협소 구간은 유동성 채움재(쏘일시멘트 등)로 완전 밀실 채움_일반 / 공통,일반 / 공통,Strategy
Strat_101,"이음부 사이 특수 지수재 주입 및 조인트 강성 보강, 타 공구와의 공정 조정 및 합동 계측 시행_시화하수처리장",시화하수처리장,Strategy
Strat_102,단선 방지용 아머드 케이블 및 고품질 센서로 전면 교부 매설하고 장비 접근 금지용 보호 펜스 설치_평화의댐,평화의댐,Strategy
Strat_103,배면 재굴착 후 고강도 필터매트 정밀 시공 및 수리 계산에 근거한 충분한 두께의 쇄석층 보강_평택항외곽호안,평택항외곽호안,Strategy
Strat_104,노면 정리를 위한 전담 장비(그레이더 등) 및 살수/배수 인건비를 설계에 추가 반영하고 상시 평탄화 실시_파주포천도로 2공구,파주포천도로 2공구,Strategy
Strat_105,작업 공간 확보가 용이하도록 마이크로 벤치에서 롱벤치 공법으로 설계를 변경하여 장비 운용의 독립성 확보_김포도시철도 3공구,김포도시철도 3공구,Strategy
Strat_106,터널 내 일정 간격마다 가적치장 또는 비상주차대를 활용한 임시 회차로를 조성하고 운반 보전비를 정산 승인함_오남수동 도로,오남수동 도로,Strategy
Strat_107,"보행자 전용 가설 통로를 신설하여 동선을 완전 분리하고 교차 구간에 전담 교통 신호수를 다수 추가 배치함_성남복정1, 2지구","성남복정1, 2지구",Strategy
Strat_108,사각지대 해소를 위해 공사용 가도의 위치를 변경하고 펌프카가 내부까지 접근 가능한 진입로를 설계 변경을 통해 구축_고덕산단 1단계,고덕산단 1단계,Strategy
Strat_109,곡선부 내 장비 최소 회전 궤적을 실측하여 가시설 점유 범위를 조정하고 이동식 라이닝 폼 등 대안 공법 도입_일반 / 터널 공통,일반 / 터널 공통,Strategy
Strat_110,• 설계 단계부터 갱외 대규모 임시 야적 부지 임대료 및 인허가 대비 예산 확보. • 하역장 안전 확보용 불도저 상시 배치 및 안전턱(Berm) 조성비 반영._새만금전주 6,새만금전주 6,Strategy
Strat_111,• 굴착 연장에 비례한 노면정리장비(그레이더/살수차) 임대료 및 골재 부설비 반영. • 운송 노조의 특수 수당구간(급경사 하향굴착 등) 할증비를 사전 도급에 포함._파주포천 2공구,파주포천 2공구,Strategy
Strat_112,• 3D 스캐너 활용 여굴 실시간 프로파일링 및 굴착 형상 관리. • 점보드릴 가이드 시스템 최적화 및 고성능 액상 급결제 적용._오남수동도로,오남수동도로,Strategy
Strat_113,• 보안물건 인접 구간은 설계 단계부터 화약 발파를 배제하고 기계 굴착(할암) 반영. • 불가피할 경우 강력한 비산 방지 덮개 및 방호 옹벽 계획 수립._노포북정 3공구,노포북정 3공구,Strategy
Strat_114,• 주민 대표 참관 하에 시험발파 시행 및 계측 데이터 투명 공유. • 민원 합의금(위로금) 예산 선제 확보 및 발주처 책임 분담 테이블 구성._새만금전주 5,새만금전주 5,Strategy
Strat_115,• 발파 직후 3D 스캐닝을 통해 미굴부 즉각 Chipping 및 소발파 실시. • 발파 설계 시 뇌관 기폭 순서 최적화 및 장약량 정밀 제어._오남수동도로,오남수동도로,Strategy
Strat_116,• 착공 초기 경찰서 협의를 통해 현실적 발파 시간(주간 8시간 등) 확정 및 공정표 재수립. • 불발항력적 인허가 조건 변경을 사유로 발주처에 공기 연장 및 간접비 공식 청구._오남수동도로,오남수동도로,Strategy
Strat_117,"물리적 수치(kine) 외에 민원인의 감각적 피해 보상을 위한 협상 예산을 확보하고, 공법 변경에 따른 공기 연장 책임을 명확히 함._새만금전주 5공구",새만금전주 5공구,Strategy
Strat_118,"도심지 및 고속도로 초인접 구간은 설계 시 발파를 배제하고 기계식 굴착을 적용하며, 불가피 시 비산 방지 정밀 대책으로 경찰을 설득함._노포북정 3공구",노포북정 3공구,Strategy
Strat_119,"기존 운영선이나 도심지 상가 구조물과 극근접 교차하는 구간은 화약류 발파를 원천 배제하고 무진동 굴착(로드헤더, 할암) 단가를 선제적으로 도급 내역에 반영함._대구도시철도 305공구",대구도시철도 305공구,Strategy
Strat_120,"도심지 의료시설 등 초정온시설 인접 발파/굴착 공사 시, 굴착 장비 상부에 국소 방음 챔버를 씌우거나 무진동/무소음 굴착 공법을 1순위로 채택하여 설계 가설내역에 반영함._서울지하철 923공구",서울지하철 923공구,Strategy
Strat_121,"설계 시 상업시설 인접 구간은 '영업 피해 민원 발생'을 디폴트 리스크로 산정하고, 도급 내역에 정밀제어발파 또는 기계굴착 단가를 보수적으로 우선 배정함._오남수동도로",오남수동도로,Strategy
Strat_122,"도심지 발파 현장 설계 시, 지자체 환경 조례 및 지역 주민 집단 민원에 대비하여 최고 수준의 소음/진동 억제 설비(스마트 실시간 계측 등)를 환경관리비 및 직접공사비에 100% 할증 설계함._성남복정1·2 공공주택지구",성남복정1·2 공공주택지구,Strategy
Strat_123,"도심지 및 민가 인접 대규모 발파장 운영 설계 시, '환경컨설팅 용역비' 및 '인접 구조물 정밀 사전/사후조사비'를 도급 내역(환경관리비)에 100% 사전 편입함._송산그린시티 남측지구 3공구",송산그린시티 남측지구 3공구,Strategy
Strat_124,"암질에 적합하도록 발파 패턴을 최적화(저항선, 공간격 조절, 미진동 제어발파 적용)하여 정밀 천공을 유도하고, 여굴에 따른 숏크리트 손실분에 대해 실정보고를 통한 협력업체 적자 보전을 협의함_새만금전주 6공구",새만금전주 6공구,Strategy
Strat_125,"여굴 발생 부위에 대한 정확한 3D 스캐닝 및 단면 측량을 통해 초과 물량을 객관적으로 산출하고, 발주처에 지보패턴 상향에 따른 불가피한 여굴 채움 비용으로 실정보고 정산 반영을 추진함_파주포천도로 2공구",파주포천도로 2공구,Strategy
Strat_126,"공사계약 일반조건 제6절에 근거하여 발파 굴착의 한계성 및 미굴 정리의 불가피성을 객관적으로 소명하고, 바닥 및 면정리를 위한 기계 굴착 단가 도급 반영을 지속적으로 추진함_오남수동도로",오남수동도로,Strategy
Strat_127,"심발부 발파 패턴(V컷, 실린더컷 등)을 불량 암질에 맞게 신속히 변경하고, 화약 전문가를 동원하여 천공 위치 및 장약량을 최적화함으로써 1회 발파당 굴진 효율을 끌어올림_새만금전주 5공구",새만금전주 5공구,Strategy
Strat_128,"천공 장비(점보드릴)의 각도계 활용 및 컴퓨터 제어 천공(Computerized Drilling) 유도로 정밀도를 높여 여굴을 제어하고, 요철보정층은 고정값이 아닌 현장 상황에 맞게 유동적으로 실측 정산되도록 발주처와 합의함_일반 / 공통 (중봉터널)",일반 / 공통 (중봉터널),Strategy
Strat_129,"변경된 분할 굴착 패턴에 맞게 굴착 장비(점보드릴, 로더 등)의 투입 동선을 재배치하고, 지보패턴 상향 및 분할 발파에 따른 단가 증액을 실정보고를 통해 도급에 즉시 반영함_새만금전주 5공구",새만금전주 5공구,Strategy
Strat_130,"연약 바닥면 출현 시 무리한 장비 작업을 중지하고, 감리단 입회 하에 현장 실측을 실시하여 바닥면 불량에 따른 필수 보강(빈배합 타설) 비용을 발주처 실정보고로 청구함_동대구-영천전철 4공구",동대구-영천전철 4공구,Strategy
Strat_131,"발파와 기계 굴착 병행 구간에 대한 명확한 작업 효율 저하 근거 자료(실측 작업일지, 동영상, 전문가 소견 등)를 확보하여 법원 감정 평가 시 증거로 제출하고 소송에 적극 대응함_일반 / 공통 (철도지하철팀)",일반 / 공통 (철도지하철팀),Strategy
Strat_132,"3D 스캐닝(광파기) 측량 데이터를 확보하여 여굴량을 수치화하고, 이를 근거로 발주처에 추가 물량 정산 실정보고 단행._파주-포천 2공구",파주-포천 2공구,Strategy
Strat_133,"선진수평시추(TSP)를 통해 패턴 변경 구간을 조기 확정하고, 분할 굴착에 최적화된 장비 조합 투입 및 실정보고 승인 득함._도담-영천 6공구",도담-영천 6공구,Strategy
Strat_134,"공인기관 입동 하에 시험발파를 실시하여 객관적 데이터를 확보하고, 이를 근거로 발파 단가 상향 설계변경 승인 득함._칠북-북면간 도로",칠북-북면간 도로,Strategy
Strat_135,"터널 수량산출 시 이상적 평면 굴착 가정을 배제하고, 발파 특성을 반영한 '요철보정층(레벨링 콘크리트)' 수량을 도급 내역서에 명확히 편입시킴._부산외곽순환고속 9공구",부산외곽순환고속 9공구,Strategy
Strat_136,터널 공동구 설계 시 바닥부 여굴 채움용 콘크리트 할증 물량 및 가설 거푸집 물량을 표준품셈에 근거하여 별도 아이템으로 계상함._웅동-장유 국도확장,웅동-장유 국도확장,Strategy
Strat_137,"대심도 터널 지반조사 시 지하수위 변동 및 파쇄대 존재 가능성을 보수적으로 평가하여 예비 패턴을 결정하고, 굴착 중 징후 발견 시 즉각 실정보고를 수행함._서울지하철 923공구",서울지하철 923공구,Strategy
Strat_138,"발파 패턴 최적화(제어발파 등)를 통해 여굴을 최소화하고, 불가항력적 여굴은 3D 스캐너 측량 결과를 근거로 발주처에 추가 물량 정산을 강력 청구함._새만금전주 6공구",새만금전주 6공구,Strategy
