id:ID,description,source_project,:LABEL
Risk_029,고정식 크라샤 장기 운영 민원 및 이동식 변경 리스크_칠북-북면 도로,칠북-북면 도로,Risk
Risk_030,설계 암선 상이에 따른 절취 사면 대규모 슬라이딩 리스크_광양시 우회도로,광양시 우회도로,Risk
Risk_031,집중호우 및 절리면 전단강도 저하에 따른 깎기비탈면 붕괴 리스크_오남수동도로,오남수동도로,Risk
Risk_032,암절리 과다 및 우수 침투에 따른 절토사면 유실 리스크_여수시우회도로,여수시우회도로,Risk
Risk_033,풍화토 및 수직절리 발달 구간 집중호우에 따른 대형 비탈면 파괴 리스크_칠북-북면간 도로,칠북-북면간 도로,Risk
Risk_034,사면 굴곡(비균일화) 미고려에 따른 낙석방지망 자재 부족 리스크_평화의댐 치수능력증대,평화의댐 치수능력증대,Risk
Risk_035,절취사면 암괴 이완 및 붕괴부에 대한 보강공법 과소설계 리스크_오남수동도로,오남수동도로,Risk
Risk_036,발생 예상 낙석 에너지 과소평가에 따른 낙석방지울타리 파손 리스크_오남수동도로,오남수동도로,Risk
Risk_037,수직절리 비탈면 동절기/우기 노출에 따른 낙석 및 붕괴 리스크_칠북-북면간 도로,칠북-북면간 도로,Risk
Risk_038,산악지형 인접 굴착배면 지보공 누락에 따른 사면 붕괴 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_039,옹벽 배면 암절토부 미제거 부석 및 노출면 풍화에 따른 낙석 사고 리스크_양주회천 택지개발사업,양주회천 택지개발사업,Risk
Risk_040,비탈면 십자형 블록 앵커 긴장력 손실 및 블록 설치 불량 리스크_안동댐비상여수로,안동댐비상여수로,Risk
Risk_041,터널 시점 갱구부 실제 암반선 저하에 따른 사면 슬라이딩 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_042,작업 공간 협소에 따른 사면 안식각 미확보 및 석축 추가 리스크_웅동-장유 국도확장,웅동-장유 국도확장,Risk
Risk_043,풍화암 근입 가시설(Sheet Pile) 천공용 워터제트 공법 누락 및 야간 할증 리스크_인천공항철도연계시설확충,인천공항철도연계시설확충,Risk
Risk_044,L형 옹벽 가시설과 인접 지장선로(경부고속철도) 저촉 및 이설 누락 리스크_포승-평택철도 1공구,포승-평택철도 1공구,Risk
Risk_045,관할 경찰서 화약류 사용 불허에 따른 비발파 굴착 공법(할암) 변경 리스크_노포북정3공구,노포북정3공구,Risk
Risk_046,설계 누락된 기사용 철도 통신선로 출현에 따른 가시설 시공 마비 리스크_인천공항철도연계시설확충,인천공항철도연계시설확충,Risk
Risk_047,고압 가스관 간섭구간 가스안전영향평가 누락에 따른 굴착 지연 리스크_사상하단4공구,사상하단4공구,Risk
Risk_048,사면 절취 및 토공사 중 멸종위기종 서식지 출현에 따른 환경 규제 및 공사 중지 리스크_서해선 홍성-송산 5공구,서해선 홍성-송산 5공구,Risk
Risk_049,저토피 구간 터널 상반 굴착 중 천단부 지표 침하 및 이완 리스크_서해선 홍성-송산 전철 5공구,서해선 홍성-송산 전철 5공구,Risk
Risk_050,지반조사 위치 이격에 따른 갱구부 미확인 연약층 조우 및 지보재 파괴 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_051,저토피 및 풍화암 구간 막장면 자립 불량에 따른 토사 슬라이딩 붕괴 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_052,갱구 저토피 구간 암질 불량에 따른 여굴 과다 및 숏크리트 원가 초과 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_053,대규모 단층파쇄대 조우에 따른 갱구 접속부 붕락 및 터널 변위 리스크_울산~포항 전철 2공구,울산~포항 전철 2공구,Risk
Risk_054,터널 굴착공법(마이크로 벤치) 설계 오류 및 장비 적용 불가에 따른 굴진 지연 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_055,다량의 지하수 유출 및 암질 불량에 따른 갱구부 지보패턴 상향 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_056,보안물건 인접 발파진동 초과 및 무진동 굴착 공법 강제 변경 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_057,암선 하락에 따른 지보패턴 변경 및 터널 바닥부 연약화(과굴착) 리스크_동대구-영천전철 4공구,동대구-영천전철 4공구,Risk
Risk_058,터널 암반등급 저하(3등급→4등급)에 따른 굴착 패턴 하향 및 지보재 증가 리스크_도담-영천전철 6공구,도담-영천전철 6공구,Risk
Risk_059,갱문 분리 시공 시 배면 토압에 의한 갱문 균열 및 누수 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_060,가복공(파형강판 터널) 되메우기 시 편토압에 의한 지보재 변형 및 크랙 리스크_시흥장현지구 1공구,시흥장현지구 1공구,Risk
Risk_061,갱구부 협소 공간 대형장비 급속 다짐에 따른 배면 이완 및 인장균열 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_062,록볼트 규격 미고려에 따른 초기 지보재(숏크리트) 두께 부족 및 추가 타설 리스크_안성-구리고속 11공구,안성-구리고속 11공구,Risk
Risk_063,초기 지보재와 갱문 구조물 접속부 유도배수용 동판 설계 누락에 따른 누수 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_064,피암터널(가복공) 배수경사 미확보 및 신축이음부 누수 리스크_울릉도일주도로2,울릉도일주도로2,Risk
Risk_065,2-Arch 터널 갱구부 배수관 동결 및 노면 결빙 리스크_전주-남원1공구,전주-남원1공구,Risk
Risk_066,터널 갱문 인공지반(가복공) 및 마감벽 수량 누락에 따른 갱문 불안정 리스크_울릉공항,울릉공항,Risk
Risk_067,터널 라이닝 철근 장기 방치에 따른 결속선 부식 및 붕락 리스크_충주댐치수능력증대,충주댐치수능력증대,Risk
Risk_068,라이닝 마감면 거푸집 수량 누락 및 측압 변형(Blow-out) 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_069,갱구부 배면 사면 유출수 과다 및 배수 용량 부족에 따른 터널 장비 침수 리스크_사상하단 4공구 등,사상하단 4공구 등,Risk
Risk_070,터널 갱구 인접 사면 낙석 및 지반 불안정에 따른 붕괴 및 안전사고 리스크_사상하단/칠북-북면 등,사상하단/칠북-북면 등,Risk
Risk_071,갱구부 인공지반(파형강판 등) 뒤채움재 불량 및 토압 상이에 따른 구조물 변형 리스크_울릉도일주/시흥장현 등,울릉도일주/시흥장현 등,Risk
Risk_072,갱구부 옹벽 뒤채움 다짐 미흡 및 조기 타설에 따른 상부 노면 침하 및 단차 리스크_새만금-전주 7공구 등,새만금-전주 7공구 등,Risk
Risk_073,"갱구부 비탈면/갱문 구조물 점검시설(계단, 난간) 누락 및 유지관리자 추락 사고 리스크_진접선 3공구 등",진접선 3공구 등,Risk
Risk_074,갱구 옹벽 뒤채움재 불량 및 배수 관리 미흡에 따른 배부름/균열 리스크_포항시우회도로 등,포항시우회도로 등,Risk
Risk_075,갱구 사면 보강공 시공 지연 및 집중호우에 따른 대규모 슬라이딩 붕괴 리스크_오남수동도로 등,오남수동도로 등,Risk
Risk_076,구조물 접속부(갱구 옹벽 등) 다짐 불량 및 어프로치 슬래브 부재에 따른 포장 단차 리스크_동대구-영천 4공구 등,동대구-영천 4공구 등,Risk
Risk_077,"갱구부 발파 진동 및 지반 이완에 따른 상부 기설 시설물(철탑, 분묘 등) 훼손 및 민원 리스크_칠북-북면 도로 등",칠북-북면 도로 등,Risk
Risk_078,사면 식생기반재 취부 두께 부족 및 수종 부적합에 따른 식생 고사 및 유실 리스크_칠북-북면/예천양수 등,칠북-북면/예천양수 등,Risk
Risk_079,터널 본선과 갱문(환기구 등) 접속부 유도배수 시설(동판) 누락 및 누수 리스크_서울지하철 923공구 등,서울지하철 923공구 등,Risk
Risk_080,갱구 사면 자동화 계측기/경보시스템 설치 지연에 따른 붕괴 전조 감지 실패 리스크_칠북-북면 / 성남복정 등,칠북-북면 / 성남복정 등,Risk
Risk_081,갱문 구조물 시설한계(Clearance) 및 내공치수 미확보에 따른 충돌 사고 리스크_터널 현장 공통,터널 현장 공통,Risk
Risk_082,사면 배수로 합류부(방류구) 마감 부적정 및 세굴 방지 시설 누락 리스크_수원외곽 / 양주회천 등,수원외곽 / 양주회천 등,Risk
Risk_083,갱문 경관 조명 및 외부 전선관 우수 침투 방지 대책 미흡 리스크_고군산 2공구 / 영암-해남 등,고군산 2공구 / 영암-해남 등,Risk
Risk_084,인공지반 갱문 수량산출 오류에 따른 원가 손실 리스크_울릉공항,울릉공항,Risk
Risk_085,갱문 일체시공에 따른 라이닝폼 운영 제약 및 거푸집 변경 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_086,본선터널 갱문(접속부) 유도배수 동판 설계 누락에 따른 누수 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_087,터널 갱문(벨마우스) 상단 안전난간 및 토사낙하방지턱 누락 리스크_진접선 3공구,진접선 3공구,Risk
Risk_088,갱문 상부 설계 암반선 상이에 따른 사면 불안정 및 붕괴 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_089,"Shield TBM 굴착에 따른 인접 구조물(세무서, 도시철도) 침하 및 균열 리스크_광명전력구",광명전력구,Risk
Risk_090,설계 지장물도 누락에 따른 굴착 중 미인지 상수도관 파손 및 2차 피해 리스크_GTX-A 6공구,GTX-A 6공구,Risk
Risk_091,기존 옹벽 철거 중 하부 매몰 통신관로(광케이블) 파손 및 통신장애 리스크_사상하단4공구,사상하단4공구,Risk
Risk_092,비개착 하부 굴착 시 상부 운영선 구조물(승강장 및 궤도) 부등침하 리스크_인천공항철도연계,인천공항철도연계,Risk
Risk_093,도심지 가시설 굴착 중 배면 이완에 따른 인접 민원건축물 균열 및 틈새 벌어짐 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_094,인접공사 연약지반 개량 및 지하수위 저하에 따른 기존 교량 연동침하 리스크_에코델타시티 2-1,에코델타시티 2-1,Risk
Risk_095,연약지반 압밀침하에 따른 기매설 대형 상수관 및 보강토옹벽 측방유동 리스크_칠북-북면간 도로,칠북-북면간 도로,Risk
Risk_096,개착 굴착 시 열수송관 매달기에 따른 좌굴 및 파손 리스크_삼성-동탄 GTX 2공구,삼성-동탄 GTX 2공구,Risk
Risk_097,인접 철도 운행선 근접 부벽식 옹벽 터파기에 따른 궤도 침하 및 변위 리스크_동대구-영천전철 4공구,동대구-영천전철 4공구,Risk
Risk_098,공사용 대형 관정 개발로 인한 광역 지하수위 저하 및 인근 가옥/축사 침하(함몰) 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_099,정거장 인접 지장가옥 균열 및 지반침하 발생에 따른 가옥 매입 및 철거 보상 리스크_수인선 2-2공구,수인선 2-2공구,Risk
Risk_100,지하구조물 가시설 미제거 및 다짐 불량에 따른 상부 공용도로 침하(함몰) 리스크_일반 / 공통,일반 / 공통,Risk
Risk_101,인접 공사 진동 및 연동침하 영향 미고려에 따른 기존 지하 공동구 신축이음부 파손 리스크_시화하수처리장,시화하수처리장,Risk
Risk_102,지중 매설 계측기기(침하계 등) 시공 중 손상 및 작동 오류에 따른 지반 거동 인지 실패 리스크_평화의댐,평화의댐,Risk
Risk_103,구조물 배면 토사(미립분) 유출 방지 조치 미흡에 따른 인접 공용도로 공동 발생 및 침하 리스크_평택항외곽호안,평택항외곽호안,Risk
Risk_104,터널 내 노면 요철 방치에 따른 운반 장비 파손 및 주행 안전사고 리스크_파주포천도로 2공구,파주포천도로 2공구,Risk
Risk_105,터널 분할 단면(마이크로 벤치) 협소에 따른 장비 상호 간섭 및 공정 마비 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_106,터널 내 회차 공간(Turnaround) 부재에 따른 장대 터널 장거리 후진 및 레미콘 진입 거부 리스크_오남수동 도로,오남수동 도로,Risk
Risk_107,"대형 덤프 사토 반출 동선과 보행자(통학로) 동선 중첩에 따른 사각지대 충돌 사망 리스크_성남복정1, 2지구","성남복정1, 2지구",Risk
Risk_108,펌프카 최대 작업반경 초과(사각지대)에 따른 콘크리트 타설 불가 및 가도 확폭 리스크_고덕산단 1단계,고덕산단 1단계,Risk
Risk_109,터널 급곡선부 가시설(동바리)과 대형 장비 간의 회전 반경 간섭 및 충돌 리스크_일반 / 터널 공통,일반 / 터널 공통,Risk
Risk_110,야적장 협소 및 고성토(13m) 덤프 추락/전도 리스크_새만금전주 6,새만금전주 6,Risk
Risk_111,갱내 가설도로 미정비 및 장비 파손/노조 파업 리스크_파주포천 2공구,파주포천 2공구,Risk
Risk_112,발파 여굴(Overbreak) 과다 및 원가 폭증 리스크_오남수동도로,오남수동도로,Risk
Risk_113,발파 비산(Flyrock) 우려에 따른 경찰서 불허 리스크_노포북정 3공구,노포북정 3공구,Risk
Risk_114,감각 공해 민원 및 주민 시위에 따른 발파 중단_새만금전주 5,새만금전주 5,Risk
Risk_115,미굴(Underbreak) 및 면정리 장비 추가 투입 리스크_오남수동도로,오남수동도로,Risk
Risk_116,발파 시간 제한 명령에 따른 Cycle Time 붕괴 리스크_오남수동도로,오남수동도로,Risk
Risk_117,감각적 소음/진동 민원에 따른 발파 중단 및 공법 하향_새만금전주 5공구,새만금전주 5공구,Risk
Risk_118,고속도로 인접 비산석 우려에 따른 경찰서 화약류 불허 리스크_노포북정 3공구,노포북정 3공구,Risk
Risk_119,환승통로 암터파기 소음/진동 민원에 따른 공법 변경 (미진동파쇄 → 무진동파쇄)_대구도시철도 305공구,대구도시철도 305공구,Risk
Risk_120,938정거장 인접 보훈병원 소음측정결과 초과에 따른 방음판 긴급 추가 설치_서울지하철 923공구,서울지하철 923공구,Risk
Risk_121,본선 발파암 깎기 시 민원 발생에 따른 발파공법(정밀진동제어발파) 변경 적용_오남수동도로,오남수동도로,Risk
Risk_122,2지구 주민 연합회 민원에 따른 발파 규격 변경 및 대규모 환경관리대책 추가_성남복정1·2 공공주택지구,성남복정1·2 공공주택지구,Risk
Risk_123,제2토취장 발파에 따른 소음·진동 민원 예방 환경컨설팅 및 인접 가옥 사전조사비 발생_송산그린시티 남측지구 3공구,송산그린시티 남측지구 3공구,Risk
Risk_124,터널 발파 패턴 부적정 및 암질 불량에 따른 여굴 과다 및 숏크리트 투입량 폭증 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_125,지보패턴 상향 및 발파 여굴에 따른 공동구 배면 콘크리트 수량 초과 타설 리스크_파주포천도로 2공구,파주포천도로 2공구,Risk
Risk_126,발파 굴착 후 터널 바닥/벽면 미굴(Underbreak) 발생 및 기계 굴착 장비 추가 투입 리스크_오남수동도로,오남수동도로,Risk
Risk_127,암질 불량(절리 발달)에 따른 심발부 발파 효율 저하 및 1일 굴진장 급감 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_128,과굴착(여굴) 방지 실패 및 요철보정층(레벨링 콘크리트) 강제 시공에 따른 원가 상승 리스크_일반 / 공통 (중봉터널),일반 / 공통 (중봉터널),Risk
Risk_129,암판정 결과에 따른 굴착 패턴 강제 하향 및 단면 분할에 따른 시공성 저하 리스크_새만금전주 5공구,새만금전주 5공구,Risk
Risk_130,터널 암선 하락에 따른 하부 연약 지반 노출(과굴착) 및 빈배합 콘크리트 무상 투입 리스크_동대구-영천전철 4공구,동대구-영천전철 4공구,Risk
Risk_131,기계 굴착 단가 임의 감액 및 발파 보조공법 싸이클 타임 미반영에 따른 대규모 소송 리스크_일반 / 공통 (철도지하철팀),일반 / 공통 (철도지하철팀),Risk
Risk_132,암질 불량에 따른 여굴 과다 및 숏크리트 자재비 폭증_파주-포천 2공구,파주-포천 2공구,Risk
Risk_133,암반 등급 강등에 따른 전단면 굴착 실패 및 분할굴착 전환_도담-영천 6공구,도담-영천 6공구,Risk
Risk_134,신규 보안물건 출현에 따른 발파 패턴 상향 및 단가 급증_칠북-북면간 도로,칠북-북면간 도로,Risk
Risk_135,터널 도로 포장공 요철보정층(바닥여굴 채움) 수량산출 누락 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_136,"터널 바닥부 버력처리, 공동구 바닥 여굴량(T=10cm) 및 합판거푸집 내역 누락_웅동-장유 국도확장",웅동-장유 국도확장,Risk
Risk_137,다량의 지하수 유출 및 암질 불량에 따른 터널 지보패턴(발파패턴) 하향 변경_서울지하철 923공구,서울지하철 923공구,Risk
Risk_138,터널 발파패턴 설계 적용 시공에 따른 대규모 여굴 발생 및 숏크리트/라이닝 수량 정산_새만금전주 6공구,새만금전주 6공구,Risk
Risk_139,보안물건 인접에 따른 시험발파 진동 초과 및 굴착패턴 무진동 전면 전환_서울지하철 923공구,서울지하철 923공구,Risk
Risk_140,대규모 단층파쇄대 조우에 따른 갱구 접속부 붕락 및 터널 내공변위 리스크_울산~포항 전철 2공구,울산~포항 전철 2공구,Risk
Risk_141,지하수 과다 유출에 따른 내공변위 급증 및 터널 붕괴 리스크_삼성-동탄광역급행철도 2공구,삼성-동탄광역급행철도 2공구,Risk
Risk_142,저토피 구간 상반 굴착 중 지반 아칭(Arching) 미형성에 따른 지표 침하(함몰) 리스크_서해선 홍성-송산 5공구,서해선 홍성-송산 5공구,Risk
Risk_143,다량의 지하수 및 암질 불량 특수 지층 조우에 따른 지보패턴 강제 상향 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_144,터널 굴착 완료 후 수맥(용출수) 지속 발생에 따른 오폐수시설 장기 운영 원가 초과 리스크_오남수동도로,오남수동도로,Risk
Risk_145,단층 파쇄대 조우 및 1.1km 초대형 변위 리스크_동해선 10공구,동해선 10공구,Risk
Risk_146,저토피 연약층 조우 및 암질 불량에 따른 대규모 여굴 발생 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_147,지하수 용출량 과다로 인한 오폐수 처리시설 용량 초과 및 환경 분쟁 리스크_삼성-동탄광역급행철도 2공구,삼성-동탄광역급행철도 2공구,Risk
Risk_148,도심지 굴착 중 미확인 폐기물성 토사(특수 지층) 조우에 따른 사토 반출 지연 리스크_하남선 복선전철 4공구,하남선 복선전철 4공구,Risk
Risk_149,미확인 대규모 공동(Cavern) 및 파쇄대 조우에 따른 붕락 리스크_일반 / 공통 (중봉터널 L/L),일반 / 공통 (중봉터널 L/L),Risk
Risk_150,대심도 파쇄대 관통 중 다량/고압 지하수 돌발 유입 리스크_일반 / 공통 (중봉터널 L/L),일반 / 공통 (중봉터널 L/L),Risk
Risk_151,토사 터널 등 지질이상대 출현 시 지보패턴 및 굴착공법 적용 한계 리스크_일반 / 공통 (중봉터널 L/L),일반 / 공통 (중봉터널 L/L),Risk
Risk_152,암질 불량 및 여굴/리바운드 초과 발생에 따른 숏크리트 투입량 폭증 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_153,용수 구간 부적정 급결제 사용에 따른 숏크리트 품질 저하 및 취성 파괴 리스크_중봉터널 / 공통,중봉터널 / 공통,Risk
Risk_154,막장면 숏크리트(Face Shotcrete) 설계 누락에 따른 연약지반 붕괴 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_155,리바운드 숏크리트(반발재) 폐기물 처리비용 설계 누락에 따른 원가 상승 리스크_오남수동도로,오남수동도로,Risk
Risk_156,숏크리트 타설 분진 발생 및 가시거리 미확보에 따른 작업자 중대재해 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_157,고함수비 지반 강관보강 그라우팅 중 하부 지반 탈락 및 숏크리트 긴급 보강 리스크_신림선 경전철 2공구,신림선 경전철 2공구,Risk
Risk_158,비개착 터널 숏크리트 요철/곡면부 일반 방수시트 부착 불가 리스크_인천공항철도 서울역,인천공항철도 서울역,Risk
Risk_159,곡선/특수 구조물 숏크리트 타설 시 형상유지용 가설 지지대 설계 누락 리스크_평창슬라이딩센터,평창슬라이딩센터,Risk
Risk_160,구조물 사면 숏크리트 부착력 확보를 위한 면정리(Chipping) 공사비 누락 리스크_평화의댐 치수능력증대,평화의댐 치수능력증대,Risk
Risk_161,미확인 연약 지층 조우에 따른 숏크리트 균열 및 강지보 변형(지보력 상실) 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_162,터널 현장 숏크리트 B/P(배치가동)장 운영에 따른 부대비용 설계 누락 리스크_중봉터널 L/L / 공통,중봉터널 L/L / 공통,Risk
Risk_163,요철보정층(레벨링 숏크리트) 고정 두께 강제 적용에 따른 과투입 원가 리스크_중봉터널 L/L / 공통,중봉터널 L/L / 공통,Risk
Risk_164,수압터널 숏크리트 배면 유도배수재 부재에 따른 내부 파열 및 누수 리스크_설계시공 하자 L/L,설계시공 하자 L/L,Risk
Risk_165,터널 확폭부 및 교차갱 마감 숏크리트 타설 물량 설계 누락에 따른 원가 손실 리스크_부산외곽순환고속 9공구,부산외곽순환고속 9공구,Risk
Risk_166,장대터널 굴착 시 암판정 상향 및 초과 여굴에 따른 숏크리트 타설 비용 폭증 리스크_파주포천도로 2공구,파주포천도로 2공구,Risk
Risk_167,다량의 지하수 유출 및 암질 불량 조우에 따른 터널 지보공법(지보패턴) 전면 재설계 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_168,실제 암반등급 하락에 따른 전단면 굴착 불가 및 숏크리트 지보 분할 타설 리스크_도담-영천전철 6공구,도담-영천전철 6공구,Risk
Risk_169,"터널 배수공(부직포, 지수재 등) 도면/내역 상이에 따른 숏크리트 배면 지하수 처리 불량 및 누수 리스크_김포도시철도 3공구",김포도시철도 3공구,Risk
Risk_170,터널 지보재(락볼트 및 강관다단) 도면-내역 수량 불일치에 따른 지보력 부족 및 원가 상승 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_171,동절기 작업불능일수 과소 산정에 따른 숏크리트/콘크리트 보온양생비 누락 및 초기 동해 리스크_고덕산단폐수처리장 / 시흥 하수,고덕산단폐수처리장 / 시흥 하수,Risk
Risk_172,장대터널 강재거푸집 장기 사용 및 타설에 따른 라이닝 마감면 요철(물곰보) 발생 및 보수 리스크_파주포천도로 2공구,파주포천도로 2공구,Risk
Risk_173,락볼트/앵커볼트 매입 깊이 부족 및 연단거리 미확보에 따른 지지력 상실 리스크_일반 / 공통 (하자 L/L),일반 / 공통 (하자 L/L),Risk
Risk_174,부대시설 고정용 앵커 볼트 관통 시공에 따른 방수층 파손 및 누수_일반 / 공통,일반 / 공통,Risk
Risk_175,지하수 다량 유입 구간 일반 락볼트 정착 실패 및 팽창형 록볼트(Swellex) 미반영 리스크_일반 / 공통 (지하수 구간 리스크),일반 / 공통 (지하수 구간 리스크),Risk
Risk_176,단층/용수 구간 앵커(락볼트) 마찰저항 저하 및 긴장력 손실 리스크_안동댐 비상여수로 현장,안동댐 비상여수로 현장,Risk
Risk_177,연약지반(퇴적층) 구간 앵커 정착 실패 및 가시설 변위 리스크_서남물재생센터 현장,서남물재생센터 현장,Risk
Risk_178,실제 암반선 하락에 따른 앵커/락볼트 정착장 강제 연장 및 원가 폭증 리스크_새만금전주 6공구,새만금전주 6공구,Risk
Risk_179,시공 간섭에 따른 볼트 체결 방식 임의 변경 및 구조 검토 누락 리스크_상주-영천고속 10공구,상주-영천고속 10공구,Risk
Risk_180,"연약지반(토사, 퇴적층) 및 지하수 구간 어스앵커/락볼트 정착 불량 및 지지력 상실 리스크_서남위생처리현대화 현장",서남위생처리현대화 현장,Risk
Risk_181,막장면 연약지반 락볼트(GRP Bolt) 단독 시공에 따른 막장 자립 실패 리스크_김포도시철도 3공구,김포도시철도 3공구,Risk
Risk_182,터널 라이닝 철근 처짐 방지용 앵커(락볼트) 설계 오류 및 지보력 상실 리스크_삼성-동탄광역급행철도 2공구,삼성-동탄광역급행철도 2공구,Risk
Risk_183,록볼트 규격 미고려에 따른 숏크리트 설계 두께 미달 및 추가 타설 리스크_안성-구리고속 11공구,안성-구리고속 11공구,Risk
Risk_184,암반선 하락에 따른 락볼트 지보 불가 및 어스앵커 강제 변경 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_185,터널 락볼트 설계도면과 수량산출서 간 수량 불일치 및 누락 리스크_서울지하철 923공구,서울지하철 923공구,Risk
Risk_186,암판정 결과 사면 안정성 기준 미달에 따른 락볼트(Rock Bolt) 추가 보강 리스크_오남수동도로,오남수동도로,Risk
