id:ID,description,source_project,source_version,likelihood,impact_score,frequency,recency,confidence,expert_weight,source_ll,cause,impact,impact_text,:LABEL
Risk_011,터널 유출지하수 방류 수질 규제 리스크_새만금전주 6공구,새만금전주 6공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,터널 유출지하수 방류 수질 규제 리스크,• 터널 용수와 B/P장 폐수를 혼합 처리하는 설계 결함. • 물환경보전법 및 농어촌공사 농수로 방류 승인 조건(pH 5.8~8.5) 미준수.,• 대관 방류 승인 취소로 터널 굴착 전면 중단. • 알칼리성 수질 중화를 위한 화학적 고도처리 시설 긴급 추가 설치(수억 원).,• 대관 방류 승인 취소로 터널 굴착 전면 중단. • 알칼리성 수질 중화를 위한 화학적 고도처리 시설 긴급 추가 설치(수억 원).,Risk
Risk_012,터널 하부 통과 사유지 무단 점유 리스크_수인선 2-2,수인선 2-2,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,터널 하부 통과 사유지 무단 점유 리스크,• 흙막이 어스앵커가 인접 사유지/군시설 하부를 물리적으로 침범. • 민법 제289조의2에 따른 '지하 구분지상권' 설정 및 보상 절차 누락.,• 지주 민원으로 공사 즉각 중단 명령 하달. • 발주처 보상 지연 시 시공사가 자체 자금(억대)으로 선보상 합의 강요 당함.,• 지주 민원으로 공사 즉각 중단 명령 하달. • 발주처 보상 지연 시 시공사가 자체 자금(억대)으로 선보상 합의 강요 당함.,Risk
Risk_013,갱구부 산지/농지전용 고시 지연 리스크_새만금전주 5공구,새만금전주 5공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,갱구부 산지/농지전용 고시 지연 리스크,• 터널 갱구부 깎기를 위한 산지관리법상 전용 허가 및 도로구역 고시 미비. • 관련 서류 작성을 위한 외부 전문 행정 용역비 설계 누락.,• 인허가 미승인으로 장비 진입로 개설 및 수목 벌채 불가능 (착공 불가). • 용역비 실정보고 및 고시 대기 기간 수개월간 현장 유지비 손실.,• 인허가 미승인으로 장비 진입로 개설 및 수목 벌채 불가능 (착공 불가). • 용역비 실정보고 및 고시 대기 기간 수개월간 현장 유지비 손실.,Risk
Risk_014,집중호우 시 지하 구조물 우수 과다 유입 및 양수기 용량 부족 리스크_진접선 3공구,진접선 3공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,집중호우 시 지하 구조물 우수 과다 유입 및 양수기 용량 부족 리스크,역대급 집중호우로 설계용량을 초과하는 측벽 유입수가 정거장 내부로 대량 유입되어 기존 집수정 양수기 용량이 초과됨,궤도 및 전력/통신선로가 전면 침수되고 대량의 뻘이 퇴적되어 핵심 시설물 파손 및 공기 지연 발생,궤도 및 전력/통신선로가 전면 침수되고 대량의 뻘이 퇴적되어 핵심 시설물 파손 및 공기 지연 발생,Risk
Risk_015,터널 지하수 유출 과다에 따른 오폐수 처리시설 용량 초과 및 환경기준 위반 리스크_삼성-동탄 2공구,삼성-동탄 2공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,터널 지하수 유출 과다에 따른 오폐수 처리시설 용량 초과 및 환경기준 위반 리스크,"터널 굴착 중 예상치 못한 다량의 지하수 유출로 설계용량(1,000m3/일)을 현저히 초과하는 폐수가 발생함","오폐수 처리 용량 부족으로 방류수 수질 기준을 위반하게 되어, 환경단속 및 공사 중지 행정처분 위기 직면","오폐수 처리 용량 부족으로 방류수 수질 기준을 위반하게 되어, 환경단속 및 공사 중지 행정처분 위기 직면",Risk
Risk_016,지하수 관정 개발에 따른 수위 저하 및 인근 가옥/축사 환경민원 리스크_새만금전주 6공구,새만금전주 6공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,지하수 관정 개발에 따른 수위 저하 및 인근 가옥/축사 환경민원 리스크,"터널 공사용수 공급을 위해 대형 지하수 관정을 개발하였으나, 대량 양수로 주변 지하수위가 급격히 저하됨","식수 및 농업용수 부족으로 인한 주민들의 거센 민원이 발생하고, 환경영향평가 위반에 따른 공사중위 위험 처함","식수 및 농업용수 부족으로 인한 주민들의 거센 민원이 발생하고, 환경영향평가 위반에 따른 공사중위 위험 처함",Risk
Risk_017,지하차도 굴착 중 유출수 처리를 위한 이동식 오탁수처리시설 설계 누락 리스크_김포-관산 도로,김포-관산 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,지하차도 굴착 중 유출수 처리를 위한 이동식 오탁수처리시설 설계 누락 리스크,지하차도 구간 굴착 중 발생하는 과다한 오탁수를 정화할 임시 처리시설이 설계에 전면 누락됨,오탁수 미처리 방류 시 부유물질(SS) 허용 기준치 초과로 인한 수질 오염 및 행정처분(공사중지) 우려 고조,오탁수 미처리 방류 시 부유물질(SS) 허용 기준치 초과로 인한 수질 오염 및 행정처분(공사중지) 우려 고조,Risk
Risk_018,터널 굴착 완료 후 유지관리용 오폐수처리장 운영기간 설계 누락 리스크_오남수동도로,오남수동도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,터널 굴착 완료 후 유지관리용 오폐수처리장 운영기간 설계 누락 리스크,"터널 굴착 후 라이닝 완료 시까지 용출수 처리가 필수적이나, 내역상 운영기간이 굴착 기간으로만 과소 산정됨",굴착 후 라이닝 완료 시점까지 수처리 시설을 가동해야 함에 따라 추가 운영비가 시공사 실행원가로 전가됨,굴착 후 라이닝 완료 시점까지 수처리 시설을 가동해야 함에 따라 추가 운영비가 시공사 실행원가로 전가됨,Risk
Risk_019,암버럭 가적치장 부족 및 고성토 장비 전도 리스크_새만금전주 6공구,새만금전주 6공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,암버럭 가적치장 부족 및 고성토 장비 전도 리스크,용지보상 지연으로 협소한 적치장에 암버럭을 무리하게 높게 적치하여 성토고 초과(H=13m),덤프트럭 하역 시 장비 전도 및 추락 등 중대재해 발생 위험 고조,덤프트럭 하역 시 장비 전도 및 추락 등 중대재해 발생 위험 고조,Risk
Risk_020,콘크리트 골재 야적장 부족 및 타설 공정 지연 리스크_평화의댐 치수,평화의댐 치수,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,콘크리트 골재 야적장 부족 및 타설 공정 지연 리스크,B/P장 골재 적치장이 2~5일치 저장 규모로 과소 설계되어 연속 타설이 불가능함,골재 부족으로 대규모 타설이 중지되어 댐체 구조물 품질 저하 및 공기 지연 우려,골재 부족으로 대규모 타설이 중지되어 댐체 구조물 품질 저하 및 공기 지연 우려,Risk
Risk_021,화약저장소 인허가 지연 및 필수 안전시설 누락 리스크_울릉도일주도로,울릉도일주도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,화약저장소 인허가 지연 및 필수 안전시설 누락 리스크,"피뢰침, CCTV 등 필수 안전시설이 누락되어 관할 경찰서의 사용 허가가 반려됨",화약류 양수 및 사용 불허로 인해 터널 발파 공정이 중단되고 치명적인 공기 지연 발생,화약류 양수 및 사용 불허로 인해 터널 발파 공정이 중단되고 치명적인 공기 지연 발생,Risk
Risk_022,폐기물 집하장 조성 및 현장 내 소운반 비용 누락 리스크_부산명지 택지,부산명지 택지,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,폐기물 집하장 조성 및 현장 내 소운반 비용 누락 리스크,사업지구 내 대량 발생 폐기물의 임시 적치 및 분류를 위한 부지 조성비가 누락됨,폐기물 방치로 후속 본공사 착수가 불가해지며 시공사 예산으로 조성비가 지출됨,폐기물 방치로 후속 본공사 착수가 불가해지며 시공사 예산으로 조성비가 지출됨,Risk
Risk_023,폐기물 야적장 바닥 보양(콘크리트) 및 휀스 누락 리스크_서울고덕 강일,서울고덕 강일,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,폐기물 야적장 바닥 보양(콘크리트) 및 휀스 누락 리스크,외부 공터 임대 시 원지반 보호를 위한 콘크리트 포장 및 가설 휀스비가 누락됨,부적절한 적치 시 침출수 발생으로 원지반 오염 지적 및 환경 민원 유발,부적절한 적치 시 침출수 발생으로 원지반 오염 지적 및 환경 민원 유발,Risk
Risk_024,암버럭 매각 지연에 따른 야적장 포화 및 공정 중단 리스크_오남수동 도로,오남수동 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,암버럭 매각 지연에 따른 야적장 포화 및 공정 중단 리스크,매각 업체의 처리 지연으로 현장 내 임시 야적장에 파쇄암이 한도 초과 적치됨,포화된 환경에서 터널 굴착이 불가능해지고 후방 집토를 위한 장비비가 급증함,포화된 환경에서 터널 굴착이 불가능해지고 후방 집토를 위한 장비비가 급증함,Risk
Risk_025,현장 내 공간 부족으로 외부 야적장 임대 및 소운반 리스크_김포-관산 도로,김포-관산 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,현장 내 공간 부족으로 외부 야적장 임대 및 소운반 리스크,선형 도로 특성상 가설 자재 적치 공간이 원천 부족하여 외부 유보지 임대 필요,수십만 루베의 왕복 토사 운반비 및 연간 억대 부지 임대료가 원가로 발생함,수십만 루베의 왕복 토사 운반비 및 연간 억대 부지 임대료가 원가로 발생함,Risk
Risk_026,부지 구역 분할에 따른 진출입로 세륜시설 부족 리스크_성남복정 택지,성남복정 택지,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,부지 구역 분할에 따른 진출입로 세륜시설 부족 리스크,문화재 발굴 등으로 현장이 5개로 잘게 쪼개져 공용도로 직접 진출입이 잦아짐,세륜기 부족으로 도로 비산먼지 유출 및 인근 학교 환경 민원 단속 적발 우려,세륜기 부족으로 도로 비산먼지 유출 및 인근 학교 환경 민원 단속 적발 우려,Risk
Risk_027,태풍/돌풍에 의한 가설방음벽 전도 및 3자 대물 피해 리스크_옥동-농소 도로,옥동-농소 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,태풍/돌풍에 의한 가설방음벽 전도 및 3자 대물 피해 리스크,가설방음벽 지주 기초가 강풍의 풍하중을 견디지 못하고 도로 외측으로 전도됨,"주차 차량 파손 사고 발생 및 제3자 피해보상, 가설비 재설치 비용 원가 발생","주차 차량 파손 사고 발생 및 제3자 피해보상, 가설비 재설치 비용 원가 발생",Risk
Risk_028,비산먼지 특별단속 및 토사 상하차 구간 살수시설 누락 리스크_평택 화양지구,평택 화양지구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,비산먼지 특별단속 및 토사 상하차 구간 살수시설 누락 리스크,덤프 상하차 시 다량의 분진이 발생함에도 관련 살수시설 비용이 과소 계상됨,지자체 비산먼지 특별단속 시 행정처분에 의한 공사 전면 중단 우려 직면,지자체 비산먼지 특별단속 시 행정처분에 의한 공사 전면 중단 우려 직면,Risk
Risk_029,고정식 크라샤 장기 운영 민원 및 이동식 변경 리스크_칠북-북면 도로,칠북-북면 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,고정식 크라샤 장기 운영 민원 및 이동식 변경 리스크,골재 생산용 크라샤를 인근 마을 앞에서 7년 장기 운영 시 소음/분진 피해가 집중됨,주민 집단 민원 및 조업 정지 처분 위기에 직면하고 부지 임대료가 폭증할 우려,주민 집단 민원 및 조업 정지 처분 위기에 직면하고 부지 임대료가 폭증할 우려,Risk
Risk_030,설계 암선 상이에 따른 절취 사면 대규모 슬라이딩 리스크_광양시 우회도로,광양시 우회도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,설계 암선 상이에 따른 절취 사면 대규모 슬라이딩 리스크,"램프 하단부 사면 절취 중, 설계 시 조사된 암선(Rock line)과 실제 굴착 시 확인된 암선의 고저 차이가 크고 예상치 못한 암질 불량 현상이 발생함","불량한 암반과 토사층의 경계면을 따라 대규모 사면 슬라이딩이 발생하여 굴착 공사가 전면 중단되고, 막대한 사면 보강 비용이 추가로 발생함","불량한 암반과 토사층의 경계면을 따라 대규모 사면 슬라이딩이 발생하여 굴착 공사가 전면 중단되고, 막대한 사면 보강 비용이 추가로 발생함",Risk
Risk_031,집중호우 및 절리면 전단강도 저하에 따른 깎기비탈면 붕괴 리스크_오남수동도로,오남수동도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,집중호우 및 절리면 전단강도 저하에 따른 깎기비탈면 붕괴 리스크,깎기 비탈면에 락볼트 보강을 계획했으나 시공 전 집중호우로 인해 발달된 절리면을 따라 지표수 및 지하수 침투가 가속화되어 전단강도가 급격히 저하됨,깎기 비탈면의 일부 구간에서 대형 붕괴(원호활동 파괴 등)가 발생하고 상부 인장균열 발생으로 인접 구간까지 연쇄 붕괴될 위험이 극도로 고조됨,깎기 비탈면의 일부 구간에서 대형 붕괴(원호활동 파괴 등)가 발생하고 상부 인장균열 발생으로 인접 구간까지 연쇄 붕괴될 위험이 극도로 고조됨,Risk
Risk_032,암절리 과다 및 우수 침투에 따른 절토사면 유실 리스크_여수시우회도로,여수시우회도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,암절리 과다 및 우수 침투에 따른 절토사면 유실 리스크,"설계와 상이하게 실제 굴착된 사면의 암질이 매우 불량하고 절리가 과다하게 발달해 있음에도, 우수 유입 방지 대책이나 보강공법으로의 설계변경 없이 기존 경사대로 시공을 강행함",강우 시 과다 발달된 절리면 사이로 우수가 침투하여 수압이 급증하면서 절토 사면이 대규모로 유실되고 하부 작업장의 안전이 직접적으로 위협받음,강우 시 과다 발달된 절리면 사이로 우수가 침투하여 수압이 급증하면서 절토 사면이 대규모로 유실되고 하부 작업장의 안전이 직접적으로 위협받음,Risk
Risk_033,풍화토 및 수직절리 발달 구간 집중호우에 따른 대형 비탈면 파괴 리스크_칠북-북면간 도로,칠북-북면간 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,풍화토 및 수직절리 발달 구간 집중호우에 따른 대형 비탈면 파괴 리스크,퇴적암 기반의 수직절리가 크게 발달해 있고 잔류암이 다량 포함된 풍화토 누수대(지층 변화 구간)임에도 불구하고 단순 녹화공법(Seed Spray) 등으로 보강이 과소 설계됨,비탈면 절취 후 집중호우 시 지층수 침투 및 수직절리를 통한 수압 급상승으로 인해 비탈면이 파괴되고 대규모 슬라이딩 붕괴 사고가 발생함,비탈면 절취 후 집중호우 시 지층수 침투 및 수직절리를 통한 수압 급상승으로 인해 비탈면이 파괴되고 대규모 슬라이딩 붕괴 사고가 발생함,Risk
Risk_034,사면 굴곡(비균일화) 미고려에 따른 낙석방지망 자재 부족 리스크_평화의댐 치수능력증대,평화의댐 치수능력증대,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,사면 굴곡(비균일화) 미고려에 따른 낙석방지망 자재 부족 리스크,"사면 보호용 낙석방지망 수량 산출 시, 실제 발파 사면의 불규칙한 굴곡과 비균일화를 감안하여 통상적으로 15%의 할증을 적용해야 하나 이를 전면 누락함","실제 사면의 요철과 굴곡부로 인해 도면상의 평면 수량 대비 낙석방지망 자재가 턱없이 부족해져 시공이 중단되고, 추가 자재 반입을 위한 시공사 원가가 초과됨","실제 사면의 요철과 굴곡부로 인해 도면상의 평면 수량 대비 낙석방지망 자재가 턱없이 부족해져 시공이 중단되고, 추가 자재 반입을 위한 시공사 원가가 초과됨",Risk
Risk_035,절취사면 암괴 이완 및 붕괴부에 대한 보강공법 과소설계 리스크_오남수동도로,오남수동도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,절취사면 암괴 이완 및 붕괴부에 대한 보강공법 과소설계 리스크,"절취사면에 대한 암판정 결과 암괴 이완 및 붕괴부가 광범위하게 발견되었음에도, 원설계에는 현장 여건을 무시한 채 무보강 녹생토(단순 녹화) 공법만 적용되어 있음","이완된 암괴가 강우나 해빙기에 붕괴되어 대규모 사면 슬라이딩으로 이어지고, 하부 굴착 장비 및 근로자 매몰 등 치명적인 중대재해가 발생할 위험이 고조됨","이완된 암괴가 강우나 해빙기에 붕괴되어 대규모 사면 슬라이딩으로 이어지고, 하부 굴착 장비 및 근로자 매몰 등 치명적인 중대재해가 발생할 위험이 고조됨",Risk
Risk_036,발생 예상 낙석 에너지 과소평가에 따른 낙석방지울타리 파손 리스크_오남수동도로,오남수동도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,발생 예상 낙석 에너지 과소평가에 따른 낙석방지울타리 파손 리스크,"건설 중인 도로 비탈면의 낙석방지울타리 설계 시, 사면의 높이와 경사를 고려한 최대 발생 가능 낙석 중량 및 운동 에너지를 합리적으로 산정하지 않고 과소 설계함","실제 대형 낙석 발생 시 울타리가 충격 에너지를 견디지 못하고 파손되어, 하부 본선 도로의 통행 차량과 작업자를 덮치는 치명적 사고 유발 우려","실제 대형 낙석 발생 시 울타리가 충격 에너지를 견디지 못하고 파손되어, 하부 본선 도로의 통행 차량과 작업자를 덮치는 치명적 사고 유발 우려",Risk
Risk_037,수직절리 비탈면 동절기/우기 노출에 따른 낙석 및 붕괴 리스크_칠북-북면간 도로,칠북-북면간 도로,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,수직절리 비탈면 동절기/우기 노출에 따른 낙석 및 붕괴 리스크,"퇴적암 기반으로 수직절리가 다수 발달하여 낙석 발생 가능성이 매우 높은 깎기 비탈면임에도 불구하고, 얇은 씨뿌리기(Seed Spray) 공법만으로 과소 설계됨","우기 및 동절기 동결융해 작용에 의해 수직절리가 급격히 이완되면서 지반이 불안정해지고, 다량의 낙석이 도로부로 쏟아져 대형 안전사고를 초래함","우기 및 동절기 동결융해 작용에 의해 수직절리가 급격히 이완되면서 지반이 불안정해지고, 다량의 낙석이 도로부로 쏟아져 대형 안전사고를 초래함",Risk
Risk_038,산악지형 인접 굴착배면 지보공 누락에 따른 사면 붕괴 리스크_서울지하철 923공구,서울지하철 923공구,터널(NATM)표춘체크리스(26년4월 13일) (2).xlsx,1.0,3.0,1.0,1.0,0.0,1.0,산악지형 인접 굴착배면 지보공 누락에 따른 사면 붕괴 리스크,"도심지 산악지형(일자산)과 근접하여 대심도 개착 굴착을 수행함에도, 설계 시 굴착 배면 사면에 대한 추가적인 지보공(어스앵커 등)을 전혀 계획하지 않음","굴착이 진행됨에 따라 인접 사면에서 발생하는 거대한 편토압이 가중되어 지반이 이완되고, 가시설 덮침 및 대규모 사면 붕괴 등의 중대재해 발생 우려가 고조됨","굴착이 진행됨에 따라 인접 사면에서 발생하는 거대한 편토압이 가중되어 지반이 이완되고, 가시설 덮침 및 대규모 사면 붕괴 등의 중대재해 발생 우려가 고조됨",Risk
